"Position","Resource Link","Marker Icon"
1,"https://www.foodhelpline.org/resources/clr8756se0euan7hjkb7r1fk5","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
2,"https://www.foodhelpline.org/resources/clr8738fc0et6n7hjcwbzz84y","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
3,"https://www.foodhelpline.org/resources/clv5cuvet09exzzxk7apql7tr","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
4,"https://www.foodhelpline.org/resources/cle8t4o7y0007js0fmrb2cwot","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
5,"https://www.foodhelpline.org/resources/cle8h1lge000fl20faxj8yqz7","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
6,"https://www.foodhelpline.org/resources/clr87gaia0f0fn7hj4ltcyuy1","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
7,"https://www.foodhelpline.org/resources/cle8mohfw000ml00fegtfri3c","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
8,"https://www.foodhelpline.org/resources/cmhm5o9et10xo0dfluwaqtoj3","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
9,"https://www.foodhelpline.org/resources/cmhm1doc61lxn3bcq5zhvv8j1","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
10,"https://www.foodhelpline.org/resources/cm8oz94f900d44e0wl9c66dc4","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
11,"https://www.foodhelpline.org/resources/clv5e8ucv0a1tzzxk5rpgxp2p","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
12,"https://www.foodhelpline.org/resources/clolnwnwk1utoo20ftwsbwm56","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
13,"https://www.foodhelpline.org/resources/cmhm2iy5f0zqh0dfl3o80l9a7","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
14,"https://www.foodhelpline.org/resources/cmhklohdm1ca03bcq4j8unvwh","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
15,"https://www.foodhelpline.org/resources/clv5ir8ic0069osnjsagx7jnc","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
16,"https://www.foodhelpline.org/resources/cmhkli6qg1bq5zjec7abzbjtr","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
17,"https://www.foodhelpline.org/resources/cle8chuyw001imd0fe1x5w5rx","https://www.foodhelpline.org/_next/static/media/pin-purple.ebbdd413.svg"
